City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,11,PF,1624628464,76,-9.8,-139.0333,78.87,15.23
Busselton,39,AU,1624628464,82,-33.65,115.3333,53.04,10.18
Lixouri,0,GR,1624628464,27,38.2019,20.4314,100.4,16.11
Mataura,100,NZ,1624628465,98,-46.1927,168.8643,48.47,1.23
Çay,17,TR,1624628465,38,38.5917,31.0286,80.15,14.2
Ushuaia,90,AR,1624628243,93,-54.8,-68.3,40.66,21.85
Tessalit,1,ML,1624628465,11,20.1986,1.0114,106.12,4.56
San Rafael,69,AR,1624628465,47,-34.6177,-68.3301,50.13,13.62
Vardø,75,NO,1624628466,93,70.3705,31.1107,55.6,19.57
Saint George,1,US,1624628316,37,37.1041,-113.5841,77.34,4.61
Bredasdorp,18,ZA,1624628466,52,-34.5322,20.0403,65.52,16.11
Bluff,89,NZ,1624628466,91,-46.6,168.3333,48.79,4.92
Zhangjiakou,8,CN,1624628467,66,40.81,114.8794,71.69,6.17
Kavaratti,67,IN,1624628467,75,10.5669,72.642,82.85,14.56
Carnarvon,62,AU,1624628467,35,-24.8667,113.6333,50.07,4.61
Acajutla,56,SV,1624628468,72,13.5928,-89.8275,78.8,1.99
Hasaki,100,JP,1624628468,81,35.7333,140.8333,66.6,3.94
Saskylakh,91,RU,1624628468,54,71.9167,114.0833,59.5,13.13
Tiarei,18,PF,1624628468,78,-17.5333,-149.3333,80.01,13.78
Tuktoyaktuk,20,CA,1624628469,56,69.4541,-133.0374,68.0,12.66
Aksu,3,CN,1624628469,23,41.1231,80.2644,81.19,17.34
Beroroha,8,MG,1624628469,28,-21.6667,45.1667,76.8,0.27
Voh,44,NC,1624628469,74,-20.9667,164.7,67.93,4.88
Yurino,20,RU,1624628470,50,56.2942,46.3039,92.52,12.1
Arraial do Cabo,0,BR,1624628470,64,-22.9661,-42.0278,75.16,19.57
Lüderitz,12,NA,1624628470,51,-26.6481,15.1594,64.63,11.45
Port Alfred,0,ZA,1624628471,48,-33.5906,26.891,72.61,8.9
Jamestown,1,US,1624628245,62,42.097,-79.2353,73.18,8.01
Butaritari,100,KI,1624628471,79,3.0707,172.7902,82.33,16.02
East London,0,ZA,1624628471,73,-33.0153,27.9116,68.94,11.5
Hermanus,33,ZA,1624628472,73,-34.4187,19.2345,62.8,33.26
Coahuayana Viejo,70,MX,1624628472,80,18.7333,-103.6833,80.08,4.54
Qaanaaq,21,GL,1624628472,78,77.484,-69.3632,39.74,3.98
Ullapool,100,GB,1624628472,83,57.8987,-5.1604,53.76,11.41
Punta Arenas,98,CL,1624628473,84,-53.15,-70.9167,41.29,20.8
Hithadhoo,98,MV,1624628473,67,-0.6,73.0833,83.46,6.64
Pestovo,88,RU,1624628473,39,58.5938,35.8024,87.6,6.82
Rikitea,12,PF,1624628474,77,-23.1203,-134.9692,74.05,4.45
Tautira,18,PF,1624628474,79,-17.7333,-149.15,80.01,14.5
Tasiilaq,45,GL,1624628474,74,65.6145,-37.6368,41.16,12.1
Dhidhdhoo,99,MV,1624628474,76,6.8833,73.1,82.78,14.27
Norman Wells,75,CA,1624628475,77,65.282,-126.8329,59.04,2.3
Kapaa,75,US,1624628475,84,22.0752,-159.319,75.52,8.05
Bengkulu,27,ID,1624628475,85,-3.8004,102.2655,78.96,5.46
Yulara,0,AU,1624628476,62,-25.2406,130.9889,49.84,9.22
San Juan Bautista,77,PE,1624628476,61,-14.0108,-75.7358,56.03,1.9
Kvareli,57,GE,1624628476,14,41.9524,45.8151,98.89,6.6
Tegul'det,99,RU,1624628477,97,57.3064,88.1667,51.64,5.64
Pauini,3,BR,1624628477,50,-7.7136,-66.9764,85.12,0.76
Te Anau,100,NZ,1624628477,95,-45.4167,167.7167,48.07,0.92
Srednekolymsk,84,RU,1624628477,52,67.45,153.6833,59.65,9.13
Mocuba,12,MZ,1624628478,42,-16.8392,36.9856,81.16,3.31
Chapais,100,CA,1624628478,88,49.7834,-74.8492,60.58,8.81
Morwa,69,IN,1624628478,82,22.9,73.8333,79.75,11.27
Nakamura,100,JP,1624628479,96,32.9833,132.9333,68.47,1.66
Cape Town,75,ZA,1624628253,74,-33.9258,18.4232,63.1,5.99
Atar,5,MR,1624628479,9,20.5169,-13.0499,108.3,5.79
Clyde River,90,CA,1624628405,87,70.4692,-68.5914,41.23,0.0
Kaitangata,97,NZ,1624628479,94,-46.2817,169.8464,47.59,2.68
Torbay,1,CA,1624628480,61,47.6666,-52.7314,75.76,5.75
Asău,56,RO,1624628480,70,46.4333,26.4,87.28,5.3
Santa Lucía,20,ES,1624628480,53,27.9117,-15.5407,67.77,19.57
Puerto Ayacucho,99,VE,1624628481,85,5.6639,-67.6236,75.92,4.74
Tiksi,51,RU,1624628481,63,71.6872,128.8694,52.03,3.65
Mayo,1,US,1624628481,69,38.8876,-76.5119,73.74,1.01
Castro,4,BR,1624628481,64,-24.7911,-50.0119,69.75,3.51
São Miguel do Araguaia,40,BR,1624628482,27,-13.275,-50.1628,89.56,5.23
Buala,100,SB,1624628482,86,-8.145,159.5921,77.02,4.41
Lagoa,1,PT,1624628482,77,39.05,-27.9833,66.61,3.76
Santa Cruz de Tenerife,20,ES,1624628483,64,28.4682,-16.2546,76.87,7.0
Cartagena,40,CO,1624628234,94,10.3997,-75.5144,80.22,4.61
